Dpt;M. Emmanuel MACRON;Mme. Nathalie ARTHAUD;M. Fabien ROUSSEL;M. Jean LASSALE;Mme. Marine LEPEN;M. Eric ZEMMOUR;M. Jean-Luc MELENCHON;Mme. Anne HIDALGO;M. Yannick JADOT;Mme. Valerie PECRESSE;M. Philippe POUTOU;M. Nicolas DUPONT-AIGNAN;Abstentions;Blancs;M. Emmanuel MACRON 2;Mme. Marine LEPEN 2;Part immigration;Mediane du niveau vie;Taux de pauvrete-Ensemble;Part des agriculteurs exploitants;Part des artisans comm. chefs entr.;Part des cadres professions intellect. superieures;Part des professions intermed.;Part des employes;Part des ouvriers;0 a 19ans;20 a 39ans;40 a 59ans;60 a 74ans;75 ans et plus
Ain;92206;1658;5938;10876;86755;27530;57832;5644;15843;17572;2172;8998;97541;5641;166635;136370;11;24810;10,8;1;6,3;14,9;26,7;26,2;24,1;170644;149381;182322;108338;56286
Aisne;58721;2038;5968;6468;104342;18266;41172;2983;7074;10920;2118;5790;101089;3767;102428;153069;5;20920;18,8;1,7;4,9;8,2;22,3;30;30,4;127328;114151;133577;99174;50493
Allier;49706;1359;8119;7782;50315;12361;31013;3280;5982;10319;1503;4216;58497;3749;87645;79762;5,8;21500;16,2;3,3;6,6;8,9;22,6;31,3;26,1;66707;62330;83969;73059;47435
Alpes-de-Haute-Provence;20800;505;2721;4309;26010;7926;21856;1396;3957;3834;865;2504;29290;1478;41659;44139;8,1;21790;17,1;2,6;10;11,4;25,6;28,9;20,4;34085;30984;43372;35934;21823
Hautes-Alpes;20507;428;1925;3871;19696;6164;19718;1459;5013;4511;801;2142;25357;1395;42213;34446;5,9;22010;14,7;2,9;9,5;9,9;27,2;31,3;18,5;28689;26531;36961;30567;17330
Alpes-Maritimes;139707;1627;8858;12767;148919;78208;92345;5414;23374;31260;2989;13307;208250;7550;261989;260629;15,1;23460;16,4;0,2;9;17,3;24,7;31,5;16;232495;237601;287591;203151;145395
Ardeche;45353;1219;5710;9033;49594;14199;42837;4189;8544;9553;1817;4927;54114;3311;90053;81705;5,2;21990;14,9;2,7;8,3;10,5;25;28,1;24,5;70808;61678;87456;70096;41176
Ardennes;31656;1081;3009;4084;48242;8771;22281;1741;3446;5556;1112;2957;49368;1909;55093;72040;7,3;20850;19,4;2,2;5,4;7,8;22,7;29,8;29,9;61547;55834;69516;52936;26857
Ariege;18071;417;2701;7532;21958;5821;23908;3208;3020;2724;723;1621;25028;1532;39298;37616;7,3;20820;19;3,3;8,8;9,2;23,7;32;21,6;31198;29077;40257;33811;20081
Aube;38321;1005;3094;3787;49316;11374;22483;1720;4619;8923;1062;3966;52384;2339;68840;73625;8,7;21530;16,9;2,8;5,4;10,4;22,5;29,5;27,6;76193;69895;77056;56340;32699
